,A,B,C,D
0,58,85,92,49
1,58,26,76,42
2,74,18,98,20
3,62,70,83,64
4,34,83,45,93
5,95,36,91,19
6,27,96,33,9
7,41,21,71,39
8,32,20,27,74
9,78,31,27,42
10,5,35,75,68
11,21,37,19,83
12,72,28,14,27
13,1,9,57,91
14,26,3,88,13
15,66,79,81,37
16,11,64,32,41
17,48,13,12,95
18,52,13,75,51
19,37,0,64,46
20,93,21,81,53
21,1,70,97,86
22,67,88,90,73
23,79,32,54,38
24,67,0,32,9
25,44,20,6,48
26,33,31,81,69
27,70,78,89,18
28,90,9,83,91
29,6,27,25,11
30,74,24,64,23
31,73,71,83,40
32,82,21,41,15
33,60,84,72,69
34,22,6,17,73
35,95,92,74,23
36,26,50,60,79
37,11,25,15,26
38,61,27,25,92
39,49,38,16,54
40,79,52,52,71
41,2,0,1,47
42,42,37,90,96
43,0,86,55,88
44,78,66,7,29
45,43,71,54,65
46,5,92,29,40
47,26,91,13,31
48,92,53,70,38
49,13,26,29,11
50,66,65,55,21
51,17,45,17,80
52,14,82,30,83
53,3,38,41,88
54,95,44,0,25
55,42,99,81,32
56,47,30,14,40
57,39,1,79,88
58,49,18,37,84
59,18,12,87,8
60,90,15,77,99
61,55,67,56,27
62,12,35,52,77
63,20,78,8,12
64,97,65,38,66
65,70,62,80,21
66,1,64,15,87
67,29,84,28,87
68,23,47,8,46
69,99,52,28,84
70,2,5,65,16
71,13,35,2,20
72,45,28,60,58
73,26,53,16,59
74,80,66,49,4
75,76,81,14,29
76,2,72,18,81
77,30,93,72,61
78,30,32,28,84
79,30,74,25,4
80,58,88,18,61
81,94,6,38,81
82,31,41,19,48
83,86,17,91,30
84,76,15,25,65
85,54,45,69,54
86,36,5,12,67
87,67,76,10,19
88,85,83,64,19
89,70,17,72,57
90,26,67,60,99
91,68,30,29,19
92,37,42,41,12
93,82,55,28,1
94,60,90,30,93
95,7,19,13,49
96,35,51,56,2
97,37,73,99,34
98,34,95,80,41
99,51,87,82,45
